id_x,songName,artistName_x,id_y,artistName_y
sgd_000002,"Andante, Andante",ABBA,spa_09341,Abba
sgd_000017,Eagle,ABBA,spa_06417,Abba
sgd_000017,Eagle,ABBA,spa_06821,Abba
sgd_000034,"Honey, Honey",ABBA,spa_09397,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08609,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08610,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08611,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08612,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08613,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08614,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08615,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08616,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08617,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_08618,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08619,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08620,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08621,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08622,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08623,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08624,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08625,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08626,Helloween
sgd_000051,Lay All Your Love On Me,ABBA,spa_08627,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08628,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08629,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08630,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08631,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08632,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08633,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08634,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_08635,Information Society
sgd_000051,Lay All Your Love On Me,ABBA,spa_09347,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09348,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09349,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09350,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09351,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09352,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09353,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09354,Abba
sgd_000051,Lay All Your Love On Me,ABBA,spa_09355,Abba
