id_x,songName,artistName,id_y
sgd_000119,Happy Nation,Ace Of Base,spa_09401
sgd_000151,Falling In Love,Aerosmith,spa_07876
sgd_000153,Get It Up,Aerosmith,spa_07946
sgd_000187,Rag Doll,Aerosmith,spa_07709
sgd_000191,Remember,Aerosmith,spa_07751
sgd_000191,Remember,Aerosmith,spa_07752
sgd_000191,Remember,Aerosmith,spa_07753
sgd_000191,Remember,Aerosmith,spa_07754
sgd_000521,Grind,Alice In Chains,spa_01346
sgd_000521,Grind,Alice In Chains,spa_01347
sgd_000521,Grind,Alice In Chains,spa_01348
sgd_000521,Grind,Alice In Chains,spa_01349
sgd_000521,Grind,Alice In Chains,spa_01350
sgd_000521,Grind,Alice In Chains,spa_01351
sgd_000521,Grind,Alice In Chains,spa_01352
sgd_000521,Grind,Alice In Chains,spa_01353
sgd_000521,Grind,Alice In Chains,spa_01354
sgd_000521,Grind,Alice In Chains,spa_01355
sgd_000521,Grind,Alice In Chains,spa_01356
sgd_000521,Grind,Alice In Chains,spa_01357
sgd_000521,Grind,Alice In Chains,spa_01358
sgd_000521,Grind,Alice In Chains,spa_01359
sgd_000521,Grind,Alice In Chains,spa_01360
sgd_000521,Grind,Alice In Chains,spa_01361
sgd_000521,Grind,Alice In Chains,spa_01362
sgd_000521,Grind,Alice In Chains,spa_01363
sgd_000521,Grind,Alice In Chains,spa_01364
sgd_000521,Grind,Alice In Chains,spa_01365
sgd_000521,Grind,Alice In Chains,spa_01366
sgd_000521,Grind,Alice In Chains,spa_01367
sgd_000521,Grind,Alice In Chains,spa_01368
sgd_000521,Grind,Alice In Chains,spa_01369
sgd_000521,Grind,Alice In Chains,spa_01370
sgd_000521,Grind,Alice In Chains,spa_01371
sgd_000521,Grind,Alice In Chains,spa_01372
sgd_000521,Grind,Alice In Chains,spa_01373
sgd_000521,Grind,Alice In Chains,spa_01374
sgd_000521,Grind,Alice In Chains,spa_01375
sgd_000521,Grind,Alice In Chains,spa_01376
sgd_000521,Grind,Alice In Chains,spa_01377
sgd_000521,Grind,Alice In Chains,spa_01378
sgd_000521,Grind,Alice In Chains,spa_01379
sgd_000521,Grind,Alice In Chains,spa_01380
sgd_000521,Grind,Alice In Chains,spa_01381
sgd_000521,Grind,Alice In Chains,spa_01598
sgd_000521,Grind,Alice In Chains,spa_01599
sgd_000521,Grind,Alice In Chains,spa_01600
sgd_000521,Grind,Alice In Chains,spa_01601
sgd_000521,Grind,Alice In Chains,spa_01602
sgd_000521,Grind,Alice In Chains,spa_01603
sgd_000521,Grind,Alice In Chains,spa_01604
sgd_000521,Grind,Alice In Chains,spa_01605
sgd_000521,Grind,Alice In Chains,spa_01606
sgd_000521,Grind,Alice In Chains,spa_01607
sgd_000521,Grind,Alice In Chains,spa_01608
sgd_000521,Grind,Alice In Chains,spa_01609
sgd_000521,Grind,Alice In Chains,spa_01610
sgd_000521,Grind,Alice In Chains,spa_01611
sgd_000521,Grind,Alice In Chains,spa_01612
sgd_000521,Grind,Alice In Chains,spa_01613
sgd_000521,Grind,Alice In Chains,spa_01614
sgd_000521,Grind,Alice In Chains,spa_01615
sgd_000521,Grind,Alice In Chains,spa_01616
sgd_000521,Grind,Alice In Chains,spa_01617
sgd_000521,Grind,Alice In Chains,spa_01618
sgd_000521,Grind,Alice In Chains,spa_01619
sgd_000521,Grind,Alice In Chains,spa_01620
sgd_000521,Grind,Alice In Chains,spa_01621
sgd_000521,Grind,Alice In Chains,spa_01622
sgd_000521,Grind,Alice In Chains,spa_01623
sgd_000521,Grind,Alice In Chains,spa_01624
sgd_000521,Grind,Alice In Chains,spa_01625
sgd_000521,Grind,Alice In Chains,spa_01626
sgd_000521,Grind,Alice In Chains,spa_01627
sgd_000521,Grind,Alice In Chains,spa_01628
sgd_000521,Grind,Alice In Chains,spa_01629
sgd_000521,Grind,Alice In Chains,spa_01630
sgd_000521,Grind,Alice In Chains,spa_01631
sgd_000521,Grind,Alice In Chains,spa_01632
sgd_000521,Grind,Alice In Chains,spa_01633
sgd_000521,Grind,Alice In Chains,spa_01840
sgd_000521,Grind,Alice In Chains,spa_01841
sgd_000521,Grind,Alice In Chains,spa_01842
sgd_000521,Grind,Alice In Chains,spa_01843
sgd_000521,Grind,Alice In Chains,spa_01844
sgd_000521,Grind,Alice In Chains,spa_01845
sgd_000521,Grind,Alice In Chains,spa_01846
sgd_000521,Grind,Alice In Chains,spa_01847
sgd_000521,Grind,Alice In Chains,spa_01848
sgd_000521,Grind,Alice In Chains,spa_01849
sgd_000521,Grind,Alice In Chains,spa_01850
sgd_000521,Grind,Alice In Chains,spa_01851
sgd_000521,Grind,Alice In Chains,spa_01852
sgd_000521,Grind,Alice In Chains,spa_01853
sgd_000521,Grind,Alice In Chains,spa_01854
sgd_000521,Grind,Alice In Chains,spa_01855
